companyName,accountID,country,city,state,companyType,rapNetMemberSince,totalRating,yearsSinceJoining
ABRAHAM'S JEWELLERY,50802,CANADA,WINDSOR,Ontario,Independent Jeweler,2019-04-24T00:00:00,0,5
Abramjayev Izak,97985,ISRAEL,Ramat Gan,,Diamond Manufacturer/Cutter,2015-02-17T00:00:00,0,9
Abrimian Bros. Corp.,73455,USA,New York,New York,Jewelry Manufacturer,2009-12-29T00:00:00,0,15
"ABSOLUTE BRILLIANCE, INC",23397,USA,New York,New York,Diamond Manufacturer/Cutter,1999-01-13T00:00:00,0,25
Absolute Diamond and Gold Buyers,85098,USA,Oklahoma City,Oklahoma,Gold Buyer,2012-07-27T00:00:00,0,12
ABT Diamonds Ltd.,11130,ISRAEL,Ramat Gan,,Diamond Manufacturer/Cutter,2006-05-23T00:00:00,0,18
"ABT Venture, Inc",70020,USA,Arlington,Texas,Independent Jeweler,2008-12-03T00:00:00,0,16
Acadian Pawn Shop Inc.,86675,USA,Lafayette,Louisiana,"Independent Jeweler 1-5 Stores, Pawn shop",2014-04-24T00:00:00,0,10
AARNA ENTERPRISE,109315,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2018-04-03T00:00:00,0,6
AAROHI DIAMONDS (ISRAEL) LTD.,14461,ISRAEL,Ramat Gan,,Diamond Dealer/Broker,2011-07-25T00:00:00,0,13
AARPIT KUMAR JAMER,115533,INDIA,AJMER,Rajasthan,Diamond Dealer/Broker,2019-12-24T00:00:00,0,5
AARTI IMPEX,73724,INDIA,Mumbai,Maharashtra,Diamond Manufacturer/Cutter,2010-02-09T00:00:00,0,14
Aarush Diamond Inc,100332,USA,Los Angeles,California,"Diamond Dealer/Broker, Jewelry Manufacturer",2015-12-07T00:00:00,0,9
Aarvi Diamond,120463,INDIA,Surat,Gujarat,,2021-07-12T00:00:00,0,3
Aarvi Impex Limited,106261,HONG KONG,Hung Hom,,"Diamond Manufacturer/Cutter, Diamond Dealer/Broker",2017-04-20T00:00:00,0,7
AARYA GEMS -MUMBAI 1,107331,INDIA,Mumbai,Maharashtra,Diamond Dealer/Broker,2017-08-22T00:00:00,0,7
AARYAA DIAM DMCC,127828,UAE,DUBAI,Dubai,,2024-04-18T00:00:00,0,Less than 1 year
Aaryan Diam,127206,INDIA,Surat,Gujarat,Not Set,2024-02-16T00:00:00,0,Less than 1 year
AARYAN INTERNATIONAL,127081,INDIA,MUMBAI,Maharashtra,Diamond Manufacturer/Cutter,2012-10-22T00:00:00,0,12
aarzee jewelry LLC,115863,USA,West Orange,New Jersey,Independent Jeweler,2020-01-23T00:00:00,0,4
"Aash, LLC",124608,USA,Stone Mountain,Georgia,Diamond Dealer/Broker,2023-01-04T00:00:00,0,1
Aashi Diamonds,79094,USA,Los Angeles,California,Diamond Dealer/Broker,2011-06-30T00:00:00,0,13
AASHI DIAMONDS LIMITED,83296,HONG KONG,HONGKONG,HONGKONG,Diamond Dealer/Broker,2012-03-29T00:00:00,0,12
AASHI EXPORTS,90495,INDIA,MUMBAI,Maharashtra,Diamond Manufacturer/Cutter,2013-07-25T00:00:00,0,11
AASHI FACETS (HK) LIMITED,116366,HONG KONG,TSIM SHA TSUI,,Diamond Dealer/Broker,2020-03-31T00:00:00,0,4
AASHI GEMS & JEWELRY INC,122870,USA,New York,New York,Wholesaler ,2022-04-12T00:00:00,0,2
AASHIK SHAH,101972,INDIA,Surat,Gujarat,"Diamond Manufacturer/Cutter, Diamond Dealer/Broker",2015-12-30T00:00:00,0,9
AASHMIKA GEMS,118892,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2021-02-11T00:00:00,1,3
Aashu Diamond Inc,114805,USA,New York,New York,Diamond Manufacturer/Cutter,2019-10-25T00:00:00,0,5
AATISH JEWELS LLC,115925,UAE,DUBAI,UAE,Diamond Dealer/Broker,2020-01-31T00:00:00,0,4
AAYAT CREATION,111174,INDIA,KAROLBAGH,Delhi,Diamond Dealer/Broker,2018-10-29T00:00:00,0,6
AAYNA DIAM,129529,BELGIUM,,,,2013-09-04T00:00:00,0,11
AB Diamond,107396,CHINA,GuangZhou,Guangdong,Diamond Dealer/Broker,2017-08-28T00:00:00,0,7
A.A. Rachminov Diamonds Ltd.,28051,HONG KONG,Hong Kong,,"Diamond Manufacturer/Cutter, Diamond Dealer/Broker",1999-09-29T00:00:00,0,25
A.A. Rachminov Diamonds USA,99288,USA,New York,New York,Diamond Dealer/Broker,2015-05-18T00:00:00,0,9
A.B Mossayoff,39952,ISRAEL,RAMAT GAN,,Diamond Dealer/Broker,2011-01-06T00:00:00,0,13
A.B.GEMS,73249,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2009-11-23T00:00:00,0,15
"A.D. Diamonds, Inc.",67564,USA,Dallas,Texas,Diamond Dealer/Broker,2007-12-19T00:00:00,0,17
A.D.DIAMOND,95058,INDIA,SURAT,Gujarat,Diamond Manufacturer/Cutter,2014-06-30T00:00:00,0,10
A.D.I.,43543,USA,Los Angeles,California,Diamond Manufacturer/Cutter,2002-10-15T00:00:00,0,22
A.D.S. Jewelry Inc.,21095,USA,Delray Beach,Florida,"Diamond Dealer/Broker, Independent Jeweler 1-5 Stores",2008-08-10T00:00:00,0,16
A.D.X.,57574,CANADA,Calgary,Alberta,Diamond Dealer/Broker,2005-09-16T00:00:00,0,19
A.G. Diamond Direct Ltd.,65555,ISRAEL,Ramat Gan,IL,Diamond Dealer/Broker,2006-10-05T00:00:00,0,18
A.G. Trading,116961,BELGIUM,Antwerpen,Antwerp,Diamond Dealer/Broker,2020-07-14T00:00:00,0,4
A.H. FISHER INC.,62949,USA,Red Bank,New Jersey,Services,2008-01-01T00:00:00,0,16
A.Jain,120918,USA,New York,New York,Wholesaler ,2021-09-13T00:00:00,0,3
A.K.EXPORTS,71638,INDIA,MUMBAI,Maharashtra,Diamond Manufacturer/Cutter,2009-08-13T00:00:00,0,15
A.L DIAMONDS-Doron Blankitny,127960,ISRAEL,,Central District,Diamond Dealer/Broker,2024-10-07T00:00:00,0,Less than 1 year
A.L JEWELLERY SOLUTIONS (UK) LTD.,117078,UNITED KINGDOM,London,,"Jewelry Manufacturer, Jewelry Retailer",2020-07-27T00:00:00,0,4
A.L. JEWELLERS,45818,INDIA,NEW DELHI,Delhi,Jewelry Manufacturer,2010-08-11T00:00:00,0,14
"A.M.EXPORTS.CO,LTD",82547,THAILAND,BANGKOK,THAILAND,Diamond Dealer/Broker,2012-03-04T00:00:00,0,12
a.m.g. of ny corp,76535,USA,ny,New York,Diamond Dealer/Broker,2010-12-07T00:00:00,0,14
A.M.Trading,93298,UNITED KINGDOM,London,,Independent Jeweler,2014-02-20T00:00:00,0,10
A.N. Diamonds,105713,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2017-02-16T00:00:00,0,7
A.Nice jewels inc,118591,USA,New York,New York,Diamond and Pearl Dealer/Broker,2021-01-12T00:00:00,0,3
A.O.T. Diamonds,92201,BELGIUM,Antwerp,Antwerp,Diamond Dealer/Broker,2014-02-18T00:00:00,0,10
A.P. Shaps AB,105376,SWEDEN,Stockholm,,"Diamond Dealer/Broker, Jewelry Manufacturer, Designer",2017-01-05T00:00:00,0,7
A.R.T. Jewelry,84279,USA,East Greenwich,Rhode Island,Independent Jeweler,2015-05-19T00:00:00,0,9
A&3B,68536,USA,Manhattan,New York,Diamond Dealer/Broker,2012-04-03T00:00:00,0,12
A&A Jewelry Findings,129459,USA,Los Angeles,California,Gem Dealer ,2024-09-25T00:00:00,0,Less than 1 year
A&B Global Co Ltd,118089,TAIWAN,Taipei,,Jewelry Retailer,2020-11-10T00:00:00,0,4
A&D DIAMOND,80578,CHINA,BEIJING,Beijing,Diamond Dealer/Broker,2011-10-23T00:00:00,0,13
A-List Diamonds,86755,USA,Chicago,Illinois,Diamond Dealer/Broker,2012-11-05T00:00:00,0,12
A-S Guld AB,122504,SWEDEN,Sodertalje,,"Jewelry Manufacturer, Wholesaler ",2022-03-01T00:00:00,0,2
A-Visitor,125106,USA,Wilmington,Delaware,Independent Jeweler,2023-03-16T18:48:00,0,1
A.  Leviev Diamonds LTD,105802,ISRAEL,Ramat Gan,Central District,Diamond Manufacturer/Cutter,2024-06-10T00:00:00,0,Less than 1 year
A. Arslanian LLC,76564,USA,New York,New York,Diamond Manufacturer/Cutter,2019-07-16T00:00:00,0,5
A. BENJAMINI & CO. INC.,76192,USA,houston,Texas,Diamond Dealer/Broker,2010-11-08T00:00:00,0,14
A. Bipinkumar & Co.,124463,INDIA,Mumbai,Maharashtra,Jewelry Manufacturer,2022-12-12T00:00:00,0,2
A. Braun Jewelers,100130,USA,new york,New York,Diamond Dealer/Broker,2024-02-01T18:10:00,0,Less than 1 year
A. Ceder Diamonds Ltd.,79877,ISRAEL,Ramat Gan,,Diamond Dealer/Broker,2011-08-29T00:00:00,0,13
A. Gabriel Diamonds Ltd.,119782,ISRAEL,Ramat Gan,,Diamond Dealer/Broker,2021-04-22T00:00:00,0,3
A. GEERI PAI GOLD & DIAMONDS,70163,INDIA,"Ernakulam,",Kerala,Jewelry Manufacturer,2008-11-03T00:00:00,0,16
A. Glam Inc,107901,USA,Dallas,Texas,Diamond Dealer/Broker,2017-10-25T00:00:00,0,7
A. Gul KG DIAMONDS,20465,GERMANY,Pforzheim,Baden-Württemberg,Diamond Dealer/Broker,2007-11-06T00:00:00,0,17
A. HAKIM & CO SAL,53707,LEBANON,Beirut,P.O. BOX 90033,Diamond Dealer/Broker,2012-10-23T00:00:00,0,12
A. Karmily LLC,117373,USA,New York,New York,Diamond Dealer/Broker,2020-08-28T00:00:00,0,4
A. Marek Fine Jewelry,69917,USA,Oak Brook,Illinois,Independent Jeweler,2008-11-03T00:00:00,0,16
A. N. Star,73658,BELGIUM,Antwerpen,,Diamond Dealer/Broker,2010-02-01T00:00:00,0,14
A. Shaer & Sons,49695,USA,New York,New York,Diamond Dealer/Broker,2005-12-05T00:00:00,0,19
A. Sturm & Son,78528,USA,N.Y.,New York,Diamond Dealer/Broker,2011-05-23T00:00:00,0,13
A. ZAVERI DIAMOND,73565,INDIA,MUMBAI,Maharashtra,Diamond Dealer/Broker,2010-01-12T00:00:00,0,14
A.A. Inbar Diamonds Ltd.,72170,ISRAEL,Ramat Gan,,Diamond Manufacturer/Cutter,2010-12-14T00:00:00,0,14
& Then,117190,USA,Dallas,Texas,Jewelry Retailer,2020-08-06T00:00:00,0,4
1-800 Loose Diamonds,21288,USA,Los Angeles,California,"Diamond Dealer/Broker, Online Jewelry Store",1999-10-27T00:00:00,0,25
1001 Diamond Jewelry Inc.,50217,USA,New York,New York,Diamond Dealer/Broker,2005-12-27T00:00:00,0,19
18Carati.com SRL,80034,ITALY,Arezzo,,"Online Jewelry Store, Jewelry Manufacturer",2011-09-12T00:00:00,0,13
"18K Consulting, LLC",93718,USA,Dunwoody,Georgia,Appraiser,2014-03-18T00:00:00,0,10
2020 Jewels Inc.,123147,USA,New York,New York,Wholesaler ,2022-05-25T00:00:00,0,2
2151271 Ontario Inc,107095,CANADA,,Ontario,Diamond Dealer/Broker,2019-07-26T00:00:00,0,5
2419768 Ontario Inc,111484,CANADA,Toronto,Ontario,Independent Jeweler,2018-12-07T00:00:00,0,6
2A Anders & Alles Handelsgesellschaft mbH,102801,AUSTRIA,Vienna,,Diamond Dealer/Broker,2016-03-09T00:00:00,0,8
2G Diam Ltd.,69822,ISRAEL,Ramat-Gan,ISRAEL,Diamond Manufacturer/Cutter,2008-12-09T00:00:00,0,16
3 J International (HK) Limited,125825,HONG KONG,,,Diamond Dealer/Broker,2023-06-27T00:00:00,0,1
3 W Inc.,30805,USA,Chicago,Illinois,Diamond Dealer/Broker,2008-03-24T00:00:00,0,16
3B DIAM,111522,INDIA,SURAT,Gujarat,"Diamond Manufacturer/Cutter, Diamond Dealer/Broker",2018-12-13T00:00:00,0,6
3D Tech Designs,127121,CANADA,,Ontario,Jewelry Manufacturer,2024-02-01T00:00:00,0,Less than 1 year
3D-Gold Jewellery (Hong Kong) Ltd.,82524,HONG KONG,NT,,Independent Jeweler,2012-03-08T00:00:00,0,12
3DM,124543,USA,Miami,Florida,Diamond and Jewelry Dealer/Broker,2022-12-23T14:52:00,0,2
3G Jewelry Limited,106580,HONG KONG,,,Diamond Dealer/Broker,2017-05-22T00:00:00,0,7
3X DIAMONDS DMCC,102961,UAE,DUBAI,DUBAI,Diamond Dealer/Broker,2018-11-13T00:00:00,0,6
4 C'S INC,21989,USA,Fairfield,Ohio,Diamond Dealer/Broker,2008-01-01T00:00:00,0,16
4CS Diamonds S.A.R.L,123705,LEBANON,Bourj Hammoud,Akkar Governorate,Wholesaler ,2022-08-18T00:00:00,0,2
4DoubleO Pte. Ltd.,123030,SINGAPORE,Singapore,Central Singapore Community Development Council,Diamond Dealer/Broker,2022-05-10T00:00:00,0,2
4G DIAM,128188,INDIA,Surat,Gujarat,Diamond and Jewelry Dealer/Broker,2024-06-07T00:00:00,0,Less than 1 year
4G GEMS,96778,INDIA,SURAT,Gujarat,"Diamond Manufacturer/Cutter, Online Jewelry Store",2014-11-12T00:00:00,0,10
4STAR DIAMOND,124150,INDIA,Surat,Gujarat,Diamond Dealer/Broker,2022-10-27T00:00:00,0,2
57 TOUCH GEMS & ART JEWELERY,92865,INDIA,MUMBAI,Maharashtra,Jewelry Manufacturer,2014-01-22T00:00:00,0,10
AGRODIAM LTD.,89793,ISRAEL,Ramat Gan,,Diamond Manufacturer/Cutter,2013-06-16T00:00:00,0,11
